start	end	text
0	3040	Did you know 92% of women with clogged lymphatic systems
3040	4480	are totally unaware of it?
4620	6220	Your lymphatic system is your body's
6220	7520	internal drainage network.
7740	10540	It runs through your entire body, your face, your neck,
10860	13160	your belly, your legs, and its entire job
13160	15420	is to flush out what your body no longer needs.
15720	18680	Dead cells, hormones, toxins, metabolic waste,
19360	21200	inflammatory proteins, all of it gets collected
21200	21960	and drained out.
22140	25400	When it's working, your body stays lean, clear, and fluid.
25680	27900	When it gets clogged, and it clogs more than most people
27900	30180	realize that waste has nowhere to go.
30420	30860	So it pools.
31300	34000	In your face, as morning puffiness that won't go away.
34160	37060	In your jaw, as softness that wasn't there a few years ago.
37260	39280	In your stomach, as bloating that shows up
39280	40860	even on your cleanest eating days.
41100	43040	In your legs, as heaviness and swelling
43040	44280	that builds throughout the day.
44460	45980	And here's where most women get it wrong.
46140	47100	They call it cellulite.
47300	48320	They call it water retention.
48760	49560	They call it edema.
49820	50960	They call it stubborn fat.
51140	54120	They go on diets, book lymphatic massages, drink more water,
54420	56400	try compression socks because nobody told them
56400	57460	what was actually happening.
57460	58340	It's not fat.
58540	59180	It's not aging.
59540	61620	It's backed up lymphatic waste that your body has
61620	64580	been trying to drain for months, maybe years, and can't.
64760	66300	And cutting calories doesn't drain it.
66780	69000	Exercise moves it temporarily, but doesn't dissolve it.
69480	70880	External massage pushes it around,
71040	73180	but can't reach what's hardened deep in your tissues.
73460	75300	The only way to clear it is from the inside.
75840	78680	Thymoquinone, the active compound in black seed oil,
78980	80960	supports a healthy inflammatory response
80960	83400	so your lymph can finally do its job again.
83760	85220	And here's what most women don't know.
85220	88660	More than 60% of your lymphatic tissue lives in your gut.
89040	91380	When the bacteria in your gut are out of balance,
91660	93280	your lymph backs up right where it
93280	94640	should be running the cleanest.
94980	97540	Carvacrol, the active compound in oregano oil,
97860	99880	supports a healthy gut microbial balance
99880	102940	and crowds out the bad bacteria so the gut lymph connection
102940	103880	runs clean again.
104200	105920	That's the formula inside Resilia.
106260	108560	Two soft gals every morning, the right doses
108560	110480	of both compounds in one capsule.
110880	113140	Week two, the face puffiness starts lifting.
113400	114800	The jaw definition comes back.
114800	116160	The leg heaviness drops.
116720	118220	Week four, the belly flattens.
118520	119120	The bloat clears.
119680	121720	And women realized what they'd been calling fat
121720	124200	or cellulite for years was actually something
124200	126640	their body simply never had the tools to handle.
126920	129580	Most supplements on Amazon only have one of these oils,
129860	132140	not both, and the ones that do have both
132140	135500	barely have any thymoquinone or carvacrol in them.
135880	139000	Resilia formulates both at the right doses in one soft gel.
139240	141180	If you want to try it, the link is below.
141180	143960	Resilia is up to 70% off right now
143960	145880	with a 30-day money-back guarantee.
146320	147720	Grab the deal while it's still running.
