id,start_seconds_estimate,end_seconds_estimate,beat,setup,cut_cue,status
B01,0,8.867,H1,P01 · Opening,Cold open into presenter; continue the same take into Because I was dropping weight.,PLANNING ONLY — realign to final voice
B02,8.867,19.2,AGITATION,P01 · Same take,Continue coverage; no mandatory cut at this beat boundary.,PLANNING ONLY — realign to final voice
B03,19.2,30.1,TWIST,B01 → P01,Straight cut into insert on picking outfits; continuous voice; return on personal admission.,PLANNING ONLY — realign to final voice
B04,30.1,36.333,CURIOSITY LOOP,P02 · Invitation,Stay on her through the next thought; a pickup cut only if the performance needs it.,PLANNING ONLY — realign to final voice
B05,36.333,45.2,DISCOVERY,B02 → P02,Insert at scrolling; return as she begins He said. Keep voice uninterrupted.,PLANNING ONLY — realign to final voice
B06,45.2,61.667,UMP,S01 → P02,Anatomy insert on how fast your stomach empties; straight return at It was not a weight thing.,PLANNING ONLY — realign to final voice
B07,61.667,72.867,PRIOR SOLUTIONS,S02 → P02,Insert only during the functional comparison; return at I had completely missed that.,PLANNING ONLY — realign to final voice
B08,72.867,77.9,DM BEAT,P03 · Follow-up,Continue presenter; no second full phone-scroll scene.,PLANNING ONLY — realign to final voice
B09,77.9,85.867,DOC RESPONSE,P03 · Criteria,Remain on her; brief pause before going back to the group.,PLANNING ONLY — realign to final voice
B10,85.867,92.967,BACK TO GROUP,P03 · Search,Same take; no forced cut on So.,PLANNING ONLY — realign to final voice
B11,92.967,101.233,WOMAN'S RECOMMENDATION,P03 · Three jobs,Hold until First; no bottle or brand yet.,PLANNING ONLY — realign to final voice
B12,101.233,110.967,UMS 1,I01 → P03,Straight cut to ingredient on apigenin; no receptor activation animation.,PLANNING ONLY — realign to final voice
B13,110.967,118.933,UMS 2,I02 → P03,Cut on Second; return after the explanation. No disappearing-gas effect.,PLANNING ONLY — realign to final voice
B14,118.933,127.2,UMS 3,P03 · Qualification,Stay through the qualifier; no third repetitive ingredient macro required.,PLANNING ONLY — realign to final voice
B15,127.2,144.533,MYTH-BUST,B03 → P04,Brief insert on putting it together herself; continuous narration.,PLANNING ONLY — realign to final voice
B16,144.533,151.633,NO COMPANY HAD DONE IT,P04 · Selection,Hold her face; product enters only after this line finishes.,PLANNING ONLY — realign to final voice
B17,151.633,153.767,PRODUCT REVEAL,PR01 · First brand,Product entry on Motilli; no logo sting.,PLANNING ONLY — realign to final voice
B18,153.767,161.733,ROUTINE,PR02 → P04,Insert on two before bed; return on which I honestly preferred.,PLANNING ONLY — realign to final voice
B19,161.733,170.0,Initial disappointment,P05 · Initial doubt,Natural pickup point; same parked car and identity.,PLANNING ONLY — realign to final voice
B20,170.0,184.7,First everyday improvement,B04 → P05,Insert on dinner; return before the understated meaning of the moment.,PLANNING ONLY — realign to final voice
B21,184.7,197.667,Morning improvement,P05 · Morning change,Continuous coverage; no obligatory morning montage.,PLANNING ONLY — realign to final voice
B22,197.667,210.9,Practical test,P05 · Practical test,Hold instead of cutting away from the payoff.,PLANNING ONLY — realign to final voice
B23,210.9,214.5,Before/now callback,P05 · Before/now,Continue into the next sentence; no invented before/after card.,PLANNING ONLY — realign to final voice
B24,214.5,228.333,Restored everyday life,P05 · Daily relief,Sustained shot; no exact B-roll reuse.,PLANNING ONLY — realign to final voice
B25,228.333,246.267,Meaning and reason to share,P05 · Why share,Same coverage into availability beat; no music crescendo prescribed.,PLANNING ONLY — realign to final voice
B26,246.267,258.933,SCARCITY,P06 · Availability,Optional clean pickup; no manufactured stock footage.,PLANNING ONLY — realign to final voice
B27,258.933,271.0,GUARANTEE + CTA,P06 → End hold,Straight continuation into a 3-second final hold; no extra spoken copy.,PLANNING ONLY — realign to final voice
