0.00-4.78  Watch what a chunk of pineapple does to your dog's smelly, gunky ears.
4.94-10.76  After 14 years as a dog nutritionist, I thought I understood this problem. I was wrong. There
10.76-15.76  are three things every dog owner believes about yeasty ears that are making it worse.
16.26-22.74  Number one, yeasty ears are an ear problem. They're not. People see brown gunk, smell that cheesy
22.74-28.14  smell, and assume the problem is in the ear canal. So they reach for ear drops, medicated washes,
28.14-34.66  cleaning wipes, but the gunk in the ears is just where it shows up. It starts somewhere completely
34.66-41.26  different. The gut. Number two, ear drops and medicated washes fix the problem. They don't.
41.32-48.34  They clear the gunk temporarily. The moment you stop, it's back. Sometimes worse. Because the yeast
48.34-54.44  isn't living in the ears, it's being fed by the gut. You're mopping the floor while the tap is still
54.44-61.78  running. Number three, some dogs just have bad ears. This is the one that breaks my heart. No dog
61.78-66.48  shakes their head all night because it's normal. They're doing it because something inside their
66.48-73.56  body is fueling a yeast overgrowth that won't stop. And nobody has addressed what that is. One dog
73.56-81.04  changed everything for me. A bulldog called Alfie. 18 months of chronic ear infections, brown wax that
81.04-87.14  smelled like warm cheese, head shaking so bad you could hear his ears slap from the next room.
87.38-93.10  His owner had tried everything. Ear drops, medicated flushes, multiple rounds of medication,
93.44-99.20  even a special elimination diet. Nothing stopped the gunk for more than a week. When I looked at his
99.20-105.80  history, the pattern was obvious. Every product attacked the ears. Not one addressed his gut.
105.80-112.76  Here's what most people don't realise. When your dog's gut bacteria is out of balance, yeast multiplies
112.76-119.98  unchecked. It spreads through the body and shows up in the warmest, most moist spots first. The ears.
120.32-127.02  That's the gunk. That's the smell. That's the head shaking. It was never an ear problem. It was always
127.02-135.28  a gut problem. I suggested one change. One chew a day. Nothing else. Day three. His owner messaged me.
135.40-141.36  He's not shaking his head as much. Day seven. The cheesy smell had faded. The cotton pads were coming
141.36-148.22  out lighter. Day 14. The brown gunk had almost stopped. His ears looked cleaner than they had in
148.22-157.22  over a year. Day 21. His owner sent me a photo. Clean pink ears. No wax. No smell. She said her groomer
157.22-164.02  couldn't believe it. The chew was NutriPol's gut health treats. Triple action. Pre, pro and post
164.02-172.66  biotics that rebalances the gut at the source. Three probiotic strains. One crowds out bad bacteria. One
172.66-180.22  targets yeast overgrowth directly. One restores gut balance. Pumpkin feeds beneficial bacteria.
180.56-188.22  Epicor, a brand new post biotic, locks in the balance so the yeast doesn't come back. One chew a day. No
188.22-196.76  ear drops. No medicated washes. No daily cleaning battles. Over 200,000 dog parents have already tried
196.76-205.26  NutriPol. 365 day guarantee. If the ears don't clear up, every penny back. Click below now. Not
205.26-212.18  tomorrow. Now. Because every day your dog spends shaking their head is another day the yeast keeps
212.18-219.46  growing. Your dog can't tell you what's wrong. They're counting on you to find another way. You just did.
