id,start_frame,end_frame_exclusive,start_s,end_s,duration_s,category,visual,voiceover_cue,purpose,flow_to_next,incoming_transition,transition_core_frames,motilli_mapping,representative_frame
R01,0,108,0.0,4.32,4.32,SCIENCE,Colon cutaway with remedy bottles trapped inside,"On a GLP-1, the harder you push your gut with laxatives, the more stuck you get.",Opening paradox; familiar packages make the problem recognizable. Slow pullback holds one visual through the complete hook.,The color anatomy switches to monochrome pills and red caption backing at the trap line.,opening,,HA1/HA2 or HB1/HB2,12
R02,108,150,4.32,6.0,1.68,OBJECT,Monochrome hand holding pills,Here's the trap no one warns you about.,Concrete remedy overload; red-backed short captions change the visual language after the green hook.,A hard cut returns to a full-body explanatory map when GLP-1 slowdown is named.,horizontal whip / blur,"[107, 113]",S03,120
R03,150,195,6.0,7.8,1.8,SCIENCE,Transparent seated figure with glowing digestive tract,"Your GLP-1 slows your gut down,",Locate the digestive system while the narrator names the slowdown; glow and gradual enlargement provide motion.,The next shot translates the internal problem into reaching for a laxative.,hard cut,,S04/S05,162
R04,195,250,7.8,10.0,2.2,PEOPLE,Woman on toilet reaches for MiraLAX bottle,so you reach for a laxative to force things through.,Literal reach-for-a-laxative action on the matching words.,"A new scale shot lands on temporary success, then a blur reverses that apparent relief.",hard cut,,S06,207
R05,250,285,10.0,11.4,1.4,PEOPLE,Woman standing on bathroom scale,"It works for a day,",Brief outcome insert under temporary relief; the scale is an association rather than a literal demonstration of bowel relief.,The whip into the mirror punctuates the reversal at the adaptation line.,hard cut,,"S11; use time/colon illustration, not scale",262
R06,285,319,11.4,12.76,1.36,PEOPLE,Woman films her abdomen in bathroom mirror,but your gut adapts fast.,Distress returns; mirror viewpoint makes the problem feel private and familiar.,Another abdomen view maintains subject and central framing across a straight cut.,horizontal whip / blur,"[284, 290]",S12,297
R07,319,358,12.76,14.32,1.56,PEOPLE,Woman holds her abdomen in doorway,"It starts leaning on that push,",Physical sensation stands in for relying on the laxative push.,Head-in-hands bathroom shot escalates from discomfort to frustration.,hard cut,,S12/S13,331
R08,358,401,14.32,16.04,1.72,PEOPLE,Seated woman with head in hands,"and its own natural rhythm gets weaker,",Human consequence under the weakened-rhythm claim; a tightening crop heightens intensity.,Shorter remedy shots accelerate the escalation.,hard cut,,S14 reframe; keep explanation anatomical,370
R09,401,422,16.04,16.88,0.84,PEOPLE,Woman reads Metamucil container at counter,so you need more,One brief shot for needing more; product dominates the foreground.,Cut to a larger pile of remedies at the repeated escalation.,hard cut,,S06 named-remedy crops,413
R10,422,455,16.88,18.2,1.32,PEOPLE,Woman lies in bed surrounded by remedies,"and more. Meanwhile,",Escalate from one remedy to an accumulating routine; dark lighting reinforces exhaustion.,Fiber narration begins before the image switches to the colon: a short voiceover lead.,hard cut,,S06/S12,434
R11,455,536,18.2,21.44,3.24,SCIENCE,Colon cross-section with many firm masses,"the fiber you're piling in just adds bulk to a gut that already can't move it,",Hold the mechanism explanation long enough to see bulk and limited movement.,Brief blur converts the internal cause into the visible bloating consequence.,hard cut,,S05/S10/S12,467
R12,536,569,21.44,22.76,1.32,PEOPLE,Woman inspects bloated abdomen in mirror,so you're more bloated too.,Literal symptom consequence after the anatomy explanation.,Hard cut to a closer face-and-pen shot introduces reassurance about the medication.,horizontal whip / blur,"[535, 541]",S13 anatomy symptom close-up,548
R13,569,626,22.76,25.04,2.28,PEOPLE,Close face with Wegovy pen held near it,"It's not that your body is broken, and it's not the shot.",Reassurance beat: the body and medication are named together. The depicted pen handling is not a direction to replicate.,Anatomy returns for the restated paradox.,hard cut,,S14/S15 capped pen,581
R14,626,660,25.04,26.4,1.36,SCIENCE,"Side-view transparent torso, close framing","It's that the harder you force it,",Connect the phrase about forcing with internal digestive anatomy.,A hard cut to a wider anatomy view adds a second emphasis within one sentence.,hard cut,,S16,638
R15,660,687,26.4,27.48,1.08,SCIENCE,Wider side-view anatomy with distended abdomen,the more stuck you get.,Second half of the paradox; wider view changes scale while preserving the subject.,The circular toilet action supplies a visual metaphor for the loop.,hard cut,,"S16 alternate crop, no body-size change",672
R16,687,706,27.48,28.24,0.76,OBJECT,Top-down swirling toilet bowl,That's the loop.,Very short visual punctuation: the loop is represented by circular water motion.,Blur sweeps into the first bright product reveal on the brand name.,hard cut,,S19 pivot; no extra loop line in Motilli copy,699
R17,706,756,28.24,30.24,2.0,PRODUCT,Angled GLP-1 SOS bottle and capsules on bright white,GLP-1 SOS breaks the loop,First standalone product reveal; brighter field resets the scene after the problem sequence.,Hard cut from the bottle to an internal demonstration explains the proposed job.,horizontal whip / blur,"[705, 711]","S27, after our three ingredients",718
