id,start_frame,end_frame_exclusive,start_s,end_s,duration_s,layer,visual_class,observed_visual,narration_paraphrase,editorial_interpretation,transition,framing,timing_confidence
FU7-I01,0,14,0.0,0.583,0.583,picture-in-picture over continuous same presenter identity,ingredients,Overhead seeds/herbs arranged on wooden board,Opening ingredient names,Ingredient recognition before face-only contrarian hook,already visible at source start; slides left offscreen,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I02,483,542,20.125,22.583,2.458,picture-in-picture over continuous same presenter identity,ingredients,Black seeds and dried herbs on wooden board,Both oils together potent,Make the pair concrete; preserve presenter gaze,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I03,676,789,28.167,32.875,4.708,picture-in-picture over continuous same presenter identity,ingredients,Overhead two glasses of gold and dark oil,Anti-everything oils,Literal two-oil pairing before spoken category list,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I04,950,1004,39.583,41.833,2.25,picture-in-picture over continuous same presenter identity,ingredients,Oblong white dish with dark seeds and pale herbs,Powerful combination,Re-establish pair at anecdote lead-in,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I05,1005,1044,41.875,43.5,1.625,picture-in-picture over continuous same presenter identity,scientific illustration,Colorful intestine illustration with bright burst resolving to clean loops,Cleared parasite problem,Visualize claimed internal change before granddad anecdote,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I06,1335,1396,55.625,58.167,2.542,picture-in-picture over continuous same presenter identity,ingredients,Hand holds herb-filled dish and small oil jar outdoors,Mediterranean oregano oil,Differentiate first named ingredient with recognizable herb/oil,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I07,1398,1454,58.25,60.583,2.333,picture-in-picture over continuous same presenter identity,ingredients,Hand holds dark seeds and oil jar outdoors,Ethiopian black seed oil,Show second ingredient as matched pair with preceding scene,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I08,1456,1502,60.667,62.583,1.917,picture-in-picture over continuous same presenter identity,scientific illustration,Neon digestive tract in blue transparent torso,Something starts inside body,Move from ingredient to internal location,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I09,1530,1601,63.75,66.708,2.958,picture-in-picture over continuous same presenter identity,ingredients,White round platter of seed/herb piles and oil,Antimicrobial compounds,Recap ingredients at active-compounds statement,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I10,1604,1635,66.833,68.125,1.292,picture-in-picture over continuous same presenter identity,scientific illustration,Glowing golden gut inside transparent torso,Compounds go to work,Bridge from ingredients to internal action,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I11,1686,1804,70.25,75.167,4.917,picture-in-picture over continuous same presenter identity,scientific animation,Close view of translucent brown shield on red intestinal wall shrinking/breaking to reveal dark forms,Carvacrol dissolves biofilm shield,Visible action corresponds to dissolving rather than generic anatomy,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I12,1851,1939,77.125,80.792,3.667,picture-in-picture over continuous same presenter identity,scientific animation,Pink intestines brighten white then return pink,Immune system sees what is inside,Flash/highlight codes visibility; only illustrative,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
