post_id,platform,url,caption,transcript,creator,published_at,likes,comments_reported,views,waves,raw_refs,seed_id,seed_notes,media_type,paid_partnership,input_url,theme_tags,category,category_method,transcript_status,retrieved_at,comments_collected,substantive_candidates
ig:DbC9Gy4AcNq,instagram,https://www.instagram.com/p/DbC9Gy4AcNq/,"Izuki is my favorite niche brand this year!
Their wallets are very unique and a lot more affordable than your typical designer wallet

The only issue is that they are always sold out, so be sure to sign up for their waitlist.","I'm a personal stylist, and my favorite niche brand this year is Isuki Studios. They make beautiful card holders and passport holders, but I hate that they're always sold out. If you don't join the waitlist, you're probably not getting one. I'm excited to see what else they come up with. I love supporting small brands that do unique things.",imthatlee,2026-07-21T07:14:46.000Z,2392,2,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=0"", ""raw/05-ig-seed-transcripts-items.json#row=134""]",S104,,Video,True,https://www.instagram.com/p/DbC9Gy4AcNq/,"[""new_brand"", ""founder"", ""designer_spend"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,2,1
ig:DdAxBh7A_SN,instagram,https://www.instagram.com/p/DdAxBh7A_SN/,"Oceana is giving yacht wife, rich aunt, summer in Monaco… without needing Monaco money.

✨ Premium 316L stainless steel.
💧 Waterproof finish.
💛 Tarnish-resistant shine.

Classic polished, waterproof, and dangerously good at making basic outfits look styled.

Limited edition ONLY, don’t let her sell out in someone else’s cart.","So I kept seeing this watch all over my feed. First Hailey, then Victoria Beckham wearing it too. And I thought, okay, what is actually going on? So I looked it up. It's called the Oceana by Noir. And honestly, I completely get it now. Cleaning them all looks like money, but it's not. Waterproof, no tarnish, wears every single day. Beach brunch work a day, it just stays under $200 while the waitlist world charges $60,000. Same feeling, same wrist, same clean, just actually yours. No more, more Oceana. No more, more Oceana. Over 100,000 women already have it. 50% off today only. If you're thinking about it, don't. Just go.",nuamore,2026-09-08T03:53:30.000Z,1,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=1"", ""raw/05-ig-seed-transcripts-items.json#row=90""]",S162,* Singing 2,Video,False,https://www.instagram.com/p/DdAxBh7A_SN/,"[""designer_spend"", ""old_money"", ""outfit_upgrade"", ""social_judgment"", ""logo_independence"", ""seasonal_woven"", ""travel_scale"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,0,0
ig:DY9scFmAKgj,instagram,https://www.instagram.com/p/DY9scFmAKgj/,"The bag built for every kind of day.

The FTL Pro fits clothes, tech, shoes, and travel essentials while still fitting perfectly under the seat in front of you.

No overhead bin stress.
No gate checking.
No overpacking chaos.

Just smarter travel.

Shop now and upgrade your carry setup.","This one bag is the reason I never pay airlines for baggage fees. The FTL Pro is my go-to travel bag right now. It comes with a dedicated pocket so you can pack your shoes without getting anything dirty. I can pack one to three days easily. There's a spot for everything, clothes, tech, and accessories. Personal items go in here and a separate pocket for shoes. Everything folds down neatly together and looks like a sleek weekender from the outside. This compartment keeps your dress shoes separated and protected. The laptop sleeve fits most sizes and gives quick access through TSA. And it's personal item approved. Fits perfectly under any seat in front of you. The FTL Pro is built for quick trips like one to three days, no problem. And honestly, I just love how nice it looks. So if you're constantly traveling, go grab yours before they sell out again.",ftlbags,2026-05-30T13:10:08.000Z,132,3,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=2"", ""raw/05-ig-seed-transcripts-items.json#row=37""]",S069,,Video,False,https://www.instagram.com/p/DY9scFmAKgj/,"[""euro_trip"", ""outfit_upgrade"", ""social_judgment"", ""work_polish"", ""travel_scale""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,3,2
ig:Db6oIeWAYmk,instagram,https://www.instagram.com/p/Db6oIeWAYmk/,"JAXXON has over 100,000+ 5-Star Reviews for a reason. It’s featured in Forbes, Entrepreneur and GQ voted it the best men’s chain. Shop now at JAXXON.com","Every wedding we've been to this summer, he's worn the chain I got him. When he opened it, the weight and shine surprised us both. It looks way more expensive than what I paid for it. Now every time we're getting ready, the chain goes on with the suit. The finishing touch. It's in every photo from every wedding this summer. Open collar, chain sitting right there. Even after multiple weddings. Zero fading, no green neck. It still looks like the day I gave it to him. Get his before going to your next wedding together at Jackson.com.",jaxxon,2026-08-11T22:08:58.000Z,124,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=3"", ""raw/05-ig-seed-transcripts-items.json#row=25""]",S085,,Video,False,https://www.instagram.com/p/Db6oIeWAYmk/,"[""designer_spend"", ""outfit_upgrade"", ""quality_material"", ""seasonal_woven"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,0,0
ig:DcRniFMSK53,instagram,https://www.instagram.com/p/DcRniFMSK53/,,,pearledivory,2026-08-20T20:26:25.000Z,32,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=4"", ""raw/05-ig-seed-transcripts-items.json#row=1""]",S130,* men’s static,Image,False,https://www.instagram.com/p/DcRniFMSK53/,[],adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,not_available,2026-09-11,0,0
ig:DR1QtjoAEn-,instagram,https://www.instagram.com/p/DR1QtjoAEn-/,Love exploring new fragrances? Try SIX incredible designer-inspired scents for just $79.95. Discover your next signature scent today!,"Isn't it wild? People drop 300 bucks on a logo in a bottle. Same formula, same iconic vibe, different name, ten times the price. They'll call it heritage. Sure, if heritage means paying extra so strangers guess your salary. We make what they hope you never find. Same ingredients the designer houses use, only they stick and people notice. For less than the tax on a status bottle. Call it a dupe if you want, we call it independence. Because if you need a logo to feel valuable, maybe it's not the fragrance that's fake. Dupe sense, luxury's long lost cousin. The cooler one though.",duppescents,2025-12-04T06:54:10.000Z,212823,2959,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=5"", ""raw/05-ig-seed-transcripts-items.json#row=28""]",S039,"* velantra affordable luxury 

Rania.haggag

Wear_this_next",Video,False,https://www.instagram.com/p/DR1QtjoAEn-/,"[""new_brand"", ""designer_spend"", ""logo_independence""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,94,60
ig:Da2-DkKAmcW,instagram,https://www.instagram.com/p/Da2-DkKAmcW/,Introducing the Chloe Tote.  Thoughtfully designed with multiple compartments to be the perfect piece for work & travel.  Available in Espresso Croc & Chai Matte Croc.  Handcrafted in Italy.,"Introducing the Chloe Tote. This is our first ever laptop bag. This is going to be your perfect companion for both work and travel. This bag has been 18 months in the making, and I'm so excited. If you have a 13-inch laptop, we have a sleeve on the inside flap or a full zipper compartment in the middle. If you have a larger 15-inch laptop like I do, it fits perfectly in this center compartment. And I wanted to design the bag with all of these compartments and sections because I think it just keeps all of your things much more organized. Everything's not flying around in your bag. And of course, the bag fits nicely over your shoulder with lots of room. Probably my favorite feature of the bag is this magnetic pocket in the back. This is going to be where you can put your passport, wallet, your phone, headphones, anything you need to get easily in and out. Especially when I'm traveling, I can just easily grab whatever I need from here. This really is the ultimate bag because it's fashion forward and sophisticated, but has so much utility and functionality to it.",aureum.collective,2026-07-16T15:32:11.000Z,449,14,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=6"", ""raw/05-ig-seed-transcripts-items.json#row=92""]",S043,Apology/transparency style ad,Video,False,https://www.instagram.com/p/Da2-DkKAmcW/,"[""old_money"", ""euro_trip"", ""quality_material"", ""work_polish"", ""travel_scale""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,7,5
ig:DadLewIAJXZ,instagram,https://www.instagram.com/p/DadLewIAJXZ/,"Fall in LOVE with the all-new Summer Watch Collection 🌴🌊

✨Premium 316L stainless steel.
💧 Premium Waterproof design.
💖Tarnish resistant shine.

Limited edition ONLY – get yours before they’re gone!",,nuamore,2026-07-06T15:09:14.000Z,1,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=7"", ""raw/05-ig-seed-transcripts-items.json#row=2""]",S165,* illusion of choice,Image,False,https://www.instagram.com/p/DadLewIAJXZ/,"[""seasonal_woven"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,not_available,2026-09-11,0,0
ig:DZmq1zHAIp-,instagram,https://www.instagram.com/p/DZmq1zHAIp-/,"Maturing as a man is realizing you need a bag too. Which is something most of us figure out about 10 years after we should have, usually right around the moment our jacket pockets give up and the plastic dopp kit we'd been carrying starts to feel less like a workaround and more like an admission.

Which makes this bag, as it turns out, the quietest possible answer to: woven pebbled Dutch calfskin, structured base, 7.8 inches wide, small enough to wear under a jacket.

It fits your phone, wallet, airpods, keys, passport when you travel (and the small notebook you started carrying around the time you turned thirty-something, obviously). 

This bag is on Vellatini under Annamo. And it's nearly gone. A few are left.

Don't be the person searching for it after it sells out.",Nothing upgrades a man faster than a good bag. The difference is in the details.,vellatini,2026-06-15T11:05:02.000Z,1846,209,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=8"", ""raw/05-ig-seed-transcripts-items.json#row=14""]",S068,"
* men’s angle",Video,False,https://www.instagram.com/p/DZmq1zHAIp-/,"[""euro_trip"", ""social_judgment"", ""quality_material"", ""logo_independence"", ""seasonal_woven"", ""travel_scale""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,41,27
ig:DcJd0Y5AGgb,instagram,https://www.instagram.com/p/DcJd0Y5AGgb/,"The Alastair Slim Fit Knit Polo features an intricate, stunning chevron knit pattern that elongates the body and highly elevates this classic piece. The super soft fabric moves and breathes extremely well for both the avid golfer or luxury lifestyle aficionado. Features a modern fit that's complimentary to athletic builds. Hugs the shoulders, chest and arms in all the right places. Long-Sleeve version also available.","Everybody wants to get that Brad Pitt old money style look, but nobody wants to tell you how because we all know he's not shopping at your local mall. Because this is the style you're gonna get at your local mall. It looks like a tablecloth and fits like a paper bag. And it's gonna fall apart in just one or two washes. But this, this is the style you're gonna see Brad Pitt wear. Because it fits in all the right places and you've still got room down here below. It doesn't fit like a paper bag. You can see the quality and the details that actually matter. If you're looking for quality and you don't want to look like everybody else that shops at your local mall, these are the ones. They're built to last and look good for every occasion. For size reference, just go your normal true to size. I'm 6'1"", 175. This right here is a size medium. I just picked these up on a summer sale, but every time they do a sale like this, they always sell out. So if you see your size and any colors you like, I'd get them before they sell out again.",trevor_cross1,2026-08-17T16:27:27.000Z,572,41,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=9"", ""raw/05-ig-seed-transcripts-items.json#row=8""]",S088,* brad pitt,Video,True,https://www.instagram.com/p/DcJd0Y5AGgb/,"[""designer_spend"", ""old_money"", ""outfit_upgrade"", ""social_judgment"", ""quality_material"", ""seasonal_woven"", ""travel_scale"", ""purchase_trigger""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,13,8
