shot,start_frame_25fps,start_sec,end_sec,duration_sec,visual,narration_function,transition_camera_action
1,0,0.00,2.40,2.40,Kitchen presenter; large SOS bottle foreground,Hook: medication conflict; product visible immediately,Static wide
2,60,2.40,5.12,2.72,Same presenter in close-up,Continue hook,Hard cut closer
3,128,5.12,6.32,1.20,Wide kitchen and bottle,Promise explanation,Hard cut wider
4,158,6.32,7.72,1.40,Presenter leans toward foreground bottle,Explanation setup,Hard cut closer
5,193,7.72,9.20,1.48,Bottle and capsules beauty shot,GLP-1 explanation begins; visual product reminder,Horizontal blur transition
6,230,9.20,11.68,2.48,Male torso with glowing digestive anatomy,Slower digestive-system claim,Hard cut; camera pushes inward
7,292,11.68,13.08,1.40,Woman demonstrates loose jeans,Weight-loss benefit,Hard cut; hands pull waistband
8,327,13.08,14.24,1.16,Transparent torso and food particle,Slower food movement,Hard cut; internal particle movement
9,356,14.24,15.60,1.36,Woman declines food at restaurant,Fullness,Hard cut; hand gesture
10,390,15.60,18.04,2.44,"Woman on couch, hand on abdomen",Agitate heaviness,Hard cut; restrained body movement
11,451,18.04,19.72,1.68,Transparent torso with active stomach,Stomach emptying claim,Hard cut; internal glow
12,493,19.72,21.36,1.64,Close bowel anatomy,Intestinal-movement claim,Hard cut; camera tracks bowel
13,534,21.36,23.04,1.68,Colon section with food-like material,Fermentation claim,Hard cut; material moves
14,576,23.04,24.76,1.72,Man reacts with hand to mouth,Sulfur-burp symptom,Hard cut; reaction action
15,619,24.76,27.44,2.68,Colon with backed-up material,Waste-backup claim,Warm light-leak / white-flash transition; outgoing light begins earlier
16,686,27.44,29.60,2.16,Presenter pushes laxative boxes away,Failed solutions,Hard cut; emphatic hand movement
17,740,29.60,32.20,2.60,Bowel muscle with fiery contraction,Stimulant-laxative explanation,Hard cut; moving anatomical camera
18,805,32.20,35.64,3.44,Woman holds injection pen at abdomen,Medication counterforce claim,Hard cut; injection-related action
19,891,35.64,37.88,2.24,Woman in red glasses drinks water,Continue conflict; introduce fiber,Hard cut; glass movement
20,947,37.88,39.16,1.28,Large fiber-like mass in digestive cross-section,Bulk claim,Hard cut; internal camera movement
21,979,39.16,41.12,1.96,Bowel lumen with mass and MOVEMENT title,Bulk-needs-movement claim,Hard cut to internal viewpoint
22,1028,41.12,42.40,1.28,Silver-haired woman addresses camera,Claim viewer lacks movement,Hard cut; emphatic gesture
23,1060,42.40,44.24,1.84,OTC containers; red X appears,Wrong-mechanism conclusion,Hard cut; graphic X animates
24,1106,44.24,45.68,1.44,Red-glasses woman standing,Absolution: failed attempts make sense,Hard cut; presenter gesture
25,1142,45.68,49.24,3.56,Dark-haired woman in coral top,Solution requirement,Hard cut; raised finger
26,1231,49.24,50.08,0.84,Red-haired woman crosses arms,Contrast against medication,Hard cut; X gesture
27,1252,50.08,53.16,3.08,Kitchen presenter picks up SOS bottle,Spoken branded ingredient introduction,Hard cut; bottle pickup
28,1329,53.16,55.88,2.72,Blue water particles enter bowel illustration,Magnesium / water explanation,Horizontal blur transition
29,1397,55.88,57.00,1.12,Red-glasses woman with palms out,No-contractions reassurance,Hard cut; calming gesture
30,1425,57.00,59.00,2.00,"Same woman, hand on abdomen",Comfort promise,Hard cut; relaxed expression
31,1475,59.00,60.00,1.00,Hand holds ginger root,Second ingredient,Hard cut; rotating object close-up
32,1500,60.00,63.20,3.20,Stomach with orange particles / lower bowel,Ginger study and emptying claim,Hard cut; camera travels along anatomy
33,1580,63.20,65.96,2.76,Bottle and clear capsules close-up,Connect ingredient explanation to product,Hard cut; beauty-shot camera movement
34,1649,65.96,67.64,1.68,Kitchen woman in pink blouse,Sulfur-burp outcome claim,Hard cut; open-hand gesture
35,1691,67.64,69.96,2.32,Inside bowel with food particles,Food empties before fermentation claim,Hard cut; forward camera movement
36,1749,69.96,72.28,2.32,Warm morning coffee portrait,Three-day testimonial result,Hard cut; cup held
37,1807,72.28,73.08,0.80,Blue simplified pelvis,No-cramping reassurance,Hard cut; anatomy insert
38,1827,73.08,74.16,1.08,Hand at exposed abdomen,No-urgency reassurance,Hard cut; live-body-style detail
39,1854,74.16,75.52,1.36,Woman gets out of bed,No-emergency reassurance,Hard cut; full-body movement
40,1888,75.52,76.20,0.68,Hand circles calendar date,Day-two marker,Hard cut; pen action
41,1905,76.20,78.84,2.64,Woman eating restaurant salad,Burps stopped / energy return,Hard cut; eating action
42,1971,78.84,80.72,1.88,Woman stretches in bed,Morning routine restored,Hard cut; stretching action
43,2018,80.72,82.04,1.32,Kitchen coffee sip,Coffee and regularity testimonial,Hard cut; cup action
44,2051,82.04,83.32,1.28,Woman exits home,Predictability / freedom,Hard cut; walking action
45,2083,83.32,85.32,2.00,Brunch group selfie,Social-life restoration,Hard cut; shared laughter
46,2133,85.32,86.72,1.40,Two capsules picked up beside dinner,Easy routine,Hard cut; hand close-up
47,2168,86.72,88.72,2.00,Bottle with 60-day guarantee seal,Risk reversal,"Warm flash; white frame at 2167, incoming bottle at 2168"
48,2218,88.72,90.28,1.56,"Kitchen presenter, open palms",Nothing-to-lose reassurance,Hard cut; gesture
49,2257,90.28,92.44,2.16,Woman holds capsule to sunlight,Transparency proof,Hard cut; capsule inspection
50,2311,92.44,95.92,3.48,Floating capsule reveals oversized herbs,Ingredient-visibility demonstration,Hard cut; capsule changes appearance within same shot
51,2398,95.92,97.36,1.44,Presenter holds bottle,Closing slogan callback,Hard cut; bottle presentation
52,2434,97.36,103.92,6.56,"Product end card with stars, 55,000+ users, URL",Visual social proof and CTA; speech ends before card,Horizontal blur transition; card held to end
