review_id,comment_id,post_id,report_pages,source_url,reviewed_full_comment,cohorts,roles,review_note,selected_anchor
Q001,igc:17902347504498071,ig:DadwnM1hmXa,5,https://www.instagram.com/p/DadwnM1hmXa/c/17902347504498071,True,C03,support;selected_anchor,"Designer-spending discussion: dissatisfaction or satisfaction with midrange alternatives; these are same-thread signals, not independent studies.",True
Q002,igc:18086502293161610,ig:DadwnM1hmXa,5,https://www.instagram.com/p/DadwnM1hmXa/c/18086502293161610,True,C03,support;selected_anchor,"Designer-spending discussion: dissatisfaction or satisfaction with midrange alternatives; these are same-thread signals, not independent studies.",True
Q003,igc:18120831529793735,ig:DadwnM1hmXa,5,https://www.instagram.com/p/DadwnM1hmXa/c/18120831529793735,True,C07,support;selected_anchor,"Timeless preference, deliberate purchase delay, continued use or refusal to replace a loved bag merely for a trend.",True
Q004,igc:17983545684107015,ig:DYSXIp6MRCO,5,https://www.instagram.com/p/DYSXIp6MRCO/c/17983545684107015,True,,context,Commenter generalizes about European behavior; do not infer population-level habits or actual purchase motive.,False
Q005,igc:17879919228486307,ig:DaAQeKXMGaz,5,https://www.instagram.com/p/DaAQeKXMGaz/c/17879919228486307,True,C10;C11,decision_condition,"Specific fit, device, carrying or luggage question; useful product requirement, not proof of current Velantra capacity.",False
Q006,igc:18018691025696915,ig:DadwnM1hmXa,6,https://www.instagram.com/p/DadwnM1hmXa/c/18018691025696915,True,C07;C17,support_and_boundary,Selling some designer pieces to save for a Kelly; selective collecting rather than designer abandonment.,False
Q007,igc:17896322463662005,ig:DcWLvteqezx,6,https://www.instagram.com/p/DcWLvteqezx/c/17896322463662005,True,C13,support,"Defends personal choice or particular styles; do not count as endorsement of universal logo, city or approval rules.",False
Q008,igc:18094937147375384,ig:DaAQeKXMGaz,6,https://www.instagram.com/p/DaAQeKXMGaz/c/18094937147375384,True,,purchase_intent,"Payday purchase intent for hoodie and duffel, not evidence that a founder story caused the decision.",False
Q009,igc:18004564757771553,ig:DaAQeKXMGaz,6,https://www.instagram.com/p/DaAQeKXMGaz/c/18004564757771553,True,C10;C11,decision_condition,"Specific fit, device, carrying or luggage question; useful product requirement, not proof of current Velantra capacity.",False
Q010,igc:18402435172150392,ig:DZf-NuYgpG-,9,https://www.instagram.com/p/DZf-NuYgpG-/c/18402435172150392,True,C04,support;selected_anchor,"Preference for less-obvious bags, discovery, creative design or an uncommon choice; strength varies from a specific reason to positive discovery response.",True
Q011,ttc:7540232524867044118,tt:7493277078276640031,9,https://www.tiktok.com/@steffieinthecity/video/7493277078276640031,True,,decision_condition,"Quality, authenticity, transaction or seller uncertainty. Retain context; these do not establish industry-wide deception or verified faults.",False
Q012,igc:18023654878488966,ig:Cl2HtNBtl03,10,https://www.instagram.com/p/Cl2HtNBtl03/c/18023654878488966,True,C02;C04,boundary,Rejects close copying or objects to derivative design; an unfamiliar designer alternative is not automatically acceptable.,False
Q013,ttc:7527403923646579511,tt:7527006509264276766,10,https://www.tiktok.com/@michelletimestwo/video/7527006509264276766,True,,context,Sarcastic or skeptical response in a resale/scam discussion; not a positive new-brand discovery statement.,False
Q014,ttc:7616571342184366879,tt:7616492357252287757,10,https://www.tiktok.com/@native.handbags/video/7616492357252287757,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q015,ttc:7681303398101140227,tt:7681030709988969741,10,https://www.tiktok.com/@johnathan.guo/video/7681030709988969741,True,C04,support,"Preference for less-obvious bags, discovery, creative design or an uncommon choice; strength varies from a specific reason to positive discovery response.",False
Q016,ttc:7616763713404027679,tt:7616492357252287757,10,https://www.tiktok.com/@native.handbags/video/7616492357252287757,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q017,ttc:7643116362760045343,tt:7639422063865777430,10,https://www.tiktok.com/@iamsaraouardi/video/7639422063865777430,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q018,igc:18059238019887743,ig:C7AKRw8Sy6U,10,https://www.instagram.com/p/C7AKRw8Sy6U/c/18059238019887743,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q019,igc:18113604616702903,ig:DNoPkkKOTKB,10,https://www.instagram.com/p/DNoPkkKOTKB/c/18113604616702903,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q020,igc:18042656318780937,ig:DWWdXh7Ebjz,10,https://www.instagram.com/p/DWWdXh7Ebjz/c/18042656318780937,True,,transaction_only,Brand/link/purchase-location request without enough stated motive to assign a persona.,False
Q021,igc:18107526293010575,ig:DaAQeKXMGaz,11,https://www.instagram.com/p/DaAQeKXMGaz/c/18107526293010575,True,,exclude,"Founder revenue speculation, not buyer motivation or verified financial evidence.",False
Q022,ttc:7527871459646669581,tt:7527006509264276766,12,https://www.tiktok.com/@michelletimestwo/video/7527006509264276766,True,,exclude,Seller self-promotion or another designer discussing their own business; do not infer buyer founder loyalty.,False
Q023,igc:17957956311158802,ig:DadwnM1hmXa,12,https://www.instagram.com/p/DadwnM1hmXa/c/17957956311158802,True,,exclude,Seller self-promotion or another designer discussing their own business; do not infer buyer founder loyalty.,False
Q024,ttc:7238890847571854107,tt:7218302653489483051,13,https://www.tiktok.com/@steffieinthecity/video/7218302653489483051,True,C02,support,"Explicit budget pressure, price/access question or response to inaccessible luxury; not evidence of income or willingness to switch to Velantra.",False
Q025,ttc:7232883425286783790,tt:7218302653489483051,13,https://www.tiktok.com/@steffieinthecity/video/7218302653489483051,True,C02,support,"Explicit budget pressure, price/access question or response to inaccessible luxury; not evidence of income or willingness to switch to Velantra.",False
Q026,ttc:7652538901458699030,tt:7652379521559137566,14,https://www.tiktok.com/@imjustbarbs/video/7652379521559137566,True,C08;C17,support;selected_anchor,Milestone purchase memory; Q282 also evaluates a new color relative to an existing collection. Designer context is preserved.,True
Q027,ttc:7661723757166019350,tt:7661349233068346646,14,https://www.tiktok.com/@heightandhustle/video/7661349233068346646,True,C05,support,Prioritizes personal style or the combination of bag and outfit; some entries are requests or critiques rather than completed purchases.,False
Q028,igc:17934324375282975,ig:DZ5YybMyYZp,14,https://www.instagram.com/p/DZ5YybMyYZp/c/17934324375282975,True,,unverified_claim,"Value, manufacture, status or price-hype assertion; no basis to treat it as a verified category fact or distinct conspiracy cohort.",False
Q029,ttc:7681170701168624406,tt:7681030709988969741,14;27,https://www.tiktok.com/@johnathan.guo/video/7681030709988969741,True,C09,support_or_requirement;selected_anchor,"Material, construction, surface-care or durability evaluation. Alleged quality failures are unverified and concern the referenced category product.",True
