name,slug,domain,scope,reason,active_ads,status
Arctic Goddess,arctic-goddess,arcticgoddess.com,included,Supplement or mixed health advertising,1814,active
ZEDE Paris,zede-paris,zede-paris.com,excluded,Bags,298,active
blog.zafiraorganics.com,blog-zafiraorganics-com,zafiraorganics.com,included,Supplement or mixed health advertising,460,active
Verano Hill,verano-hill,veranohill.com,excluded,Bags,819,active
Lymphoria,lymphoria,lymphoria.co,included,Supplement or mixed health advertising,4344,active
Sculptique,sculptique,trysculptique.com,included,Supplement or mixed health advertising,2221,active
PiPi Tea,pipi-tea,pipitea.com,included,Supplement or mixed health advertising,586,active
Vellatini,vellatini,vellatini.com,excluded,Bags,271,active
Resilia,resilia,resilia.shop,included,Supplement or mixed health advertising,7728,active
Nuora,nuora,mynuora.com,included,Supplement or mixed health advertising,1196,active
VESTIRSI,vestirsi,davidjones.com,excluded,Bags; resolved to shopvestirsi.com,280,active
Bellaucci,bellaucci,bellaucci.com,excluded,Jewelry,916,active
Nivara Official,nivara-official,nivara-shop.com,included,Supplement or mixed health advertising,825,active
Lanural,lanural,lanural.com,included,Supplement or mixed health advertising,365,active
Sarah & Stone,sarah-stone,sarahandstone.com,excluded,Fashion and bags,109,active
Elvera,elvera,tryelvera.com,included,Supplement or mixed health advertising,383,active
Nuamōre,nuam-re,nuamore.com,excluded,Watches,1441,active
Lux Boat Tote,lux-boat-tote,luxboattote.com,excluded,Bags,21,active
Neural Health Report,neural-health-report,sakureva.com,included,Supplement or mixed health advertising,0,inactive
CAVAÉ,cava,shopcavae.com,excluded,Bags,391,active
avaRoot,avaroot,avaroot.com,included,Supplement or mixed health advertising,0,inactive
jevawell,jevawell,jevawell.com,included,Supplement or mixed health advertising,187,active
NT.CO,nt-co,nutritiontherapy.co,included,Supplement or mixed health advertising,1239,active
Sanlava,sanlava,sanlava.com,included,Supplement or mixed health advertising,0,inactive
Zylara,zylara,tryvitarosa.com,included,Supplement or mixed health advertising,74,active
Alevia,alevia,alevia.com,included,Supplement or mixed health advertising,1465,active
The Blood Pressure Journal,the-blood-pressure-journal,alevia.com,included,Supplement or mixed health advertising,701,active
GLP-1 SOS Supplements,glp-1-sos-supplements,infinitelove-bcn.com,included,Supplement or mixed health advertising,494,active
go.blymeskinsystems.com,go-blymeskinsystems-com,heyblisscosmetics.com,excluded,Topical skincare,176,active
AuraVanna,auravanna,bing.com,included,Supplement or mixed health advertising,230,active
