dofile("/Users/brooksorradre2/Documents/marketing brain/brands/motilli/creative/MOT-UGC-YAPPER-01/edit/production-v18/diagnose-voice-assembly.lua")
V18_STATEMOT-UGC-YAPPER-01 v7 V3 20260910	false	
TLv7 V3 Creative - tightened master	8450	85	
TLv7 V3 Creative - ad edit	8450	1	
TLv7 V3 Creative - refined ad edit	8367	11	
TLv7 V3 Creative - final pacing edit	8327	16	
TLv7 FINAL - V3 Creative Avatar V	8327	16	
TLv8 FINAL - full community post	8327	16	
TLv9 FINAL - apigenin research	8327	16	
TLv10 FINAL - centered square overlays	8327	16	
TLv11 FINAL - wardrobe and cramping	8327	16	
TLv12 FINAL - scale overlay	8327	16	
TLv14 FINAL - cooking and fiber foods	8327	16	
TLv16 FINAL - two-shot hook	8327	16	
TLv18 Michelle V3 - voice master	9717	3	

