date,account,description,merchant,amount,direction,currency,txn_id,hint
2026-02-04,BUSINESS CHECKING ...0189 (0189),APPLECARD GSBANK PAYMENT    020326       XXXXX0262 Brooks Orradre                                  ,Apple Credit Card,1808.65,out,USD,TRN-4444f30d-0295-4ab4-a11c-26035374fc3b,Wells Fargo
2026-02-04,BUSINESS CHECKING ...0189 (0189),Shopify          Shopify           ST-N3J9G3G8D0N9 BTO EC VENTURES                                 ,Shopify,2568.65,in,USD,TRN-2bf46682-cebc-4cdf-a0c7-46707fa1b8bd,Wells Fargo
2026-02-04,Business Gold Card (1000),CREATIVEOS.COM WOODLAND HILLS CA,Creativeos.com,99.00,out,USD,TRN-b7034aa0-2b91-4bf4-90ed-cfa86a25002f,American Express
2026-02-04,Business Platinum Card® (3009),AplPay BT*FOXTROT EAST HAMPTON NY,Aplpay Foxtrot East,4.60,out,USD,TRN-419ff369-8213-4a73-9b92-3f8dc5737e1f,American Express
2026-02-04,Business Platinum Card® (3009),AplPay BT*GRUBHUB CASAN FRANCISCO CA,Grubhub,4.60,out,USD,TRN-db1ce303-c280-4ee1-9a19-c36df828d0be,American Express
2026-02-04,Business Platinum Card® (3009),AplPay GOLDEN GOOSE NEW YORK NY,Aplpay Golden Goose,627.85,out,USD,TRN-27a16ff2-2071-4329-b79e-e888324d4079,American Express
2026-02-04,Business Platinum Card® (3009),Uber Trip help.uber.com CA,Uber Trip,69.48,out,USD,TRN-95504426-dfd0-47a4-8b68-9f54369a3e0b,American Express
2026-02-04,Business Platinum Card® (3009),Uber Trip help.uber.com CA,Uber Trip,75.14,out,USD,TRN-3c465bf9-a28c-4684-9de6-723236216380,American Express
2026-02-04,Business Platinum Card® (3009),WAVESPEEDAI SINGAPORE SG,Wavespeedai Singapore,10.00,out,USD,TRN-71393343-a65b-42f1-b7dc-5c49bc7030b8,American Express
2026-02-05,BUSINESS CHECKING ...0189 (0189),Shopify          Shopify           ST-D5G4Y4H1I4O3 BTO EC VENTURES                                 ,Shopify,535.95,in,USD,TRN-9f1db748-d76c-461a-8152-c0a6a9e3dcda,Wells Fargo
2026-02-05,Business Platinum Card® (3009),AMERICAN AIRLINES 800-433-7300 TX,American Airlines,62.77,in,USD,TRN-ffa8481a-c1b7-4106-9e02-2fbca57dd981,American Express
