shot,start_s,end_s_exclusive,duration_s,start_frame_0based,end_frame_exclusive,visual_class,observed_visual_action_framing,narration_beat_paraphrase,editorial_purpose_inference,incoming_transition,outgoing_transition,asr_words_overlapping_shot,boundary_evidence,source_status
1,0,4.537871,4.538,0,136,human_anatomy_hybrid,Full-body woman in pale sportswear with yellow nodules and branching overlay; push toward torso,Unaware-of-hidden-condition hook,Begin with recognizable person carrying invisible-problem visualization,start,short horizontal blur/whip,Did you know 92 % of women with clogged lymphatic systems are totally unaware of it?,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
2,4.537871,7.640974,3.103,136,229,3d_network,Close branching tissue vessels clogged with yellow particles; camera pulls back to reveal connected network,Internal drainage explanation,Show a system after naming a system,short horizontal blur/whip transition; onset frame 136,hard visual edit,Your lymphatic system is your body's internal drainage network.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
3,7.640974,9.309309,1.668,229,279,human_anatomy_hybrid,Woman in teal outfit; yellow branching network appears across body,Whole-body distribution,Reconnect microscopic picture to affected person,hard cut,hard visual edit,"It runs through your entire body,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
4,9.309309,10.777444,1.468,279,323,human_anatomy_hybrid,Face and neck close-up with yellow branching overlay,Face and neck named,Crop to the named body region,hard cut,hard visual edit,"your face, your neck,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
5,10.777444,12.145479,1.368,323,364,human_anatomy_hybrid,Torso and thighs with same network overlay,Belly and legs named,Continue regional scan rather than holding the face,hard cut,hard visual edit,"your belly, your legs, and",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
6,12.145479,15.582249,3.437,364,467,3d_network,Branching channels expel yellow clumps and become visibly clearer,Drainage job,Animate the verb flush instead of static anatomy,hard cut,hard visual edit,and its entire job is to flush out what your body no longer needs. Dead,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
7,15.582249,16.416416,0.834,467,492,3d_micro,Red cell-like discs and gray mass fragment in pink vessel,Dead cells named,First item in rapid visual inventory,hard cut,hard visual edit,"Dead cells, hormones,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
8,16.416416,17.117117,0.701,492,513,3d_micro,Different rounded particles in pink tunnel,Hormones named,New internal composition for next inventory item,hard cut,hard visual edit,"hormones,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
9,17.117117,17.817818,0.701,513,534,3d_micro,Green-yellow clustered particles moving in pink passage,Toxins named,Distinct particle silhouette follows noun,hard cut,hard visual edit,"toxins,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
10,17.817818,18.852186,1.034,534,565,3d_micro,Dark specks and flowing translucent fluid down vessel,Metabolic waste named,Flow provides continuity while category changes,hard cut,hard visual edit,"metabolic waste,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
