slug,brand,awareness,sophistication,frameworks,analysis,observed_formats,representative_ad_id,representative_media_url
arctic-goddess,Arctic Goddess,Solution-aware; some identity-first problem-aware entries,3; identity techniques associated with 5,Alternative to an existing solution; identity recovery; short benefit/offer,"Weight/body changes are reframed as depletion; a specific organ source is offered as the missing input. The identity video sells feeling like oneself, while the selected static leads with the tradeoffs of GLP-1 weight loss.",Headline/photo static; lifestyle testimonial montage,facebook_27666354096378520,https://medias.trendtrack.io/facebook/image/ebfb02509284be8a326f0272de9e38da5842e45ddd54d6bb055cd57dcbc42f0e.png
blog-zafiraorganics-com,blog.zafiraorganics.com,Problem-aware for side effects; solution-aware within GLP-1 use,3 to 4,Symptom checklist; hidden-cause explanation; ingredient roles; companion positioning,The medication is already valued. The copy proposes keeping its benefit while addressing unwanted experiences. One video sells an explanatory article; another gives cortisol a character and builds toward a multi-ingredient product.,Product/medication comparison static; medical-style presenter; character animation,facebook_2469758403485886,https://medias.trendtrack.io/facebook/image/e4464d664920a229029b4c1a61545bd4157220ce7cd99d6e1f8a35b19f9721e2.jpg
lymphoria,Lymphoria,Problem- and solution-aware; product/most-aware offer entries,3 to 4,Hidden-cause explanation; ingredient roles; projected timeline; sale confession,Appearance and discomfort are reframed as drainage problems. Each herb gets a verb and a job. The overstock apology assumes far less education is needed and uses price as the reason to act.,Ingredient-character animation; skeleton animation; warehouse product montage,facebook_1531462474816773,https://medias.trendtrack.io/facebook/video/f15d694f453ad2115c3be2b21d3334e21bbdb6fa2f4ed95b9896d4b83dd86a78.mp4
sculptique,Sculptique,Problem-aware warning; solution-aware comparison,3 to 4,Escalating risk sequence; cumulative ingredient roles; three-reason recommendation,"The warning creates stakes, then a proposed drainage mechanism changes what the reader thinks a useful kidney product must do. Shorter versions package the same argument as three reasons or a cumulative ingredient list.",Anatomical wireframe animation; direct-to-camera testimonial,facebook_2143687879545464,https://medias.trendtrack.io/facebook/video/cb3859504751351b41ae5f70bf7f5078f319e298f3168dffed998cbe515e98cd.mp4
pipi-tea,PiPi Tea,Solution-aware in long stories; problem-aware fatigue entries,3 to 4,Personal discovery story; authority explanation; ingredient-quality checklist,"The story sells belief in tea and then reopens the question: why did a generic version disappoint? Whole-leaf/whole-flower, source and processing claims direct the resulting ingredient demand toward a particular seller.","Unbranded personal-photo static with long native copy; video transcripts available, visual treatment not inspected here",facebook_1089546423758370,https://medias.trendtrack.io/facebook/image/f26aae55a4cab9bebb02f5a4774edb9bf36b9a4f0e868ba8df6ec1eff249809b.png
resilia,Resilia,Problem- and solution-aware; product/most-aware promotion,3 to 4,Discovery story; projected timeline; warning-to-endorsement reversal; formulation comparison,The complaint can become a broad gut explanation. Concentration and a second oil justify the specific formula. Timeline and negative-opening testimonial executions compress the same promise into different narrative shapes.,Direct-to-camera kitchen story; lifestyle/product/anatomy montage,facebook_1265961302220521,https://medias.trendtrack.io/facebook/video/9fc0924aa35cd1a56272afd92153e662b8e4b718bdb5260c78dac7365418263f.mp4
nuora,Nuora,Problem- and solution-aware; product/most-aware sale,3 to 4,Research teaser; ingredient-role list; sale confession,One static sells a research explanation without naming the product in its body. Animated ingredients teach a shopping list and the bottle supplies the conclusion. Promotion copy adds offer urgency to already familiar benefits.,Editorial curiosity static; ingredient-character animation; product/lifestyle montage,facebook_2686483965077251,https://medias.trendtrack.io/facebook/image/0e8430fb1e2477aa8e7beb2c0fab0191061c3927323ae649c55f35fb8b424dde.jpg
nivara-official,Nivara Official,Problem-aware symptoms moving to solution-aware iron comparison,3 to 4,Authority-led correction; three-step explanation; formula-completeness argument,"The prospect is asked to reconsider a normal-looking lab result, then distinguish absorption from storage. The formula is introduced as the completion of several required steps. Specific medical thresholds in the ad are not validated by this analysis.",Medical-style direct-to-camera explainer with small inserts,facebook_2678217209243821,https://medias.trendtrack.io/facebook/video/940e662d08fa2c7e952eb71fdb97ba96fe2aa69fb7c74b80e65a24b35fe9c009.mp4
lanural,Lanural,Solution-aware and disappointed with remedies,3 to 4,Failed-solution explanation; ingredient-quality checklist; projected timeline; discovery story,Historical black-garlic copy makes processing duration the reason to prefer one version. Newer native copy leads with a warning about existing remedies and sends the reader to an explanation. Current and historical formulas differ.,Native curiosity photo; medical-style presenter; character animation,facebook_28540742335555645,https://medias.trendtrack.io/facebook/image/b41cccf40b1e23932d82bf43066c672c2ee01997a850dd6764e876f1b0c522fd.png
elvera,Elvera,Strongly solution-aware; some direct problem-aware introductions,3 to 4,Personal discovery story; missing-signal explanation; before/after bridge; direct benefit,The recurring distinction is between getting an episode of relief and regaining a natural daily signal. Long stories dramatize a discovery; shorter animated or montage executions compress the same proposed cause-and-solution chain.,Personal-photo native stories; clay-style character animation; lifestyle/anatomy montage,facebook_1068824812464590,https://medias.trendtrack.io/facebook/video/fd11180d6dfb687d3a23a722b1adc9764c3ed0dbc7b35234565d5f847fa41330.mp4
neural-health-report,Neural Health Report,Problem-aware in the relevant metabolic copy,3-style cause reframe; limited evidence,Symptom recognition; hidden-cause explanation; benefit checklist,"The relevant sampled copy connects fatigue and body changes to blood-sugar swings and sends the reader to Sanlava. Retrieved heel-care transcripts are unrelated and excluded. The tracker is mixed, and no active matches returned in the fresh query.",Historical video metadata; supplement video treatment not visually classified,facebook_1499479694900651,https://medias.trendtrack.io/facebook/video/656de7a5fd249040b1ffbad39d2f792df70d815f5d4a4422b258540ce570967c.mp4
avaroot,avaRoot,Solution-aware and disappointed with recurring treatment,3 to 4,Alternatives-elimination list; discovery story; ingredient and strain criteria,"The copy first makes familiar approaches seem incomplete, then distinguishes protective bacterial function, selected strains and cranberry specifications. A familiar gummy becomes a proposed complete routine. Historical examples only in the fresh active-count comparison.",Native bathroom photo with long copy; medical-style direct-to-camera list,facebook_1324311699620114,https://medias.trendtrack.io/facebook/image/f53e5f78d26c357e8bcf12e1d8a46e3d4fd3d0008699fd275ff9af4eac21558f.jpg
jevawell,jevawell,Strongly solution-aware and skeptical,3 to 4,Personal discovery story; failed-solution explanation; three-job formula; objection handling,A family loss and repeated remedies lead to an authority encounter. Three required jobs precede the formula. The story explicitly voices disbelief that a gummy could help and answers it through the proposed formula and testimonial.,Unbranded family-photo static with long native copy,facebook_1017703707284373,https://medias.trendtrack.io/facebook/image/0416b42697c8fec3274319def076971379b89a5b66b165201adfd42be4312726.jpg
nt-co,NT.CO,Solution-aware with a long management history,3 to 4,Reclassification story; authority encounter; delivery-form checklist,"A long-standing diagnostic label is challenged, followed by a proposed different cause. Concentration and liquid delivery then narrow the acceptable product. This is a story-shaped buying argument even when attached to a video asset.",Image-heavy active matching inventory; long native body on a historical video; video treatment unverified,facebook_2496269970881279,https://medias.trendtrack.io/facebook/video/ca78c6e8acbfe1adef62bc9e77fdb6d67e387f46ab43316cd47253f6dc42ec15.mp4
sanlava,Sanlava,"Solution-aware, including existing ingredient users",4 particularly explicit,Ingredient-quality checklist; comparative explanation; hidden-cause reframe,"The script preserves belief in turmeric while blaming purity, heat processing and absorption for disappointment. Those objections become a specification that the advertised formula claims to meet. No active matches returned in the fresh query.",Historical product/anatomy/ingredient montage,facebook_1589939552032073,https://medias.trendtrack.io/facebook/video/c6e30a3ecb591fc04a2015552c7c8d18e175190cea816632346d1c435e6074e0.mp4
