start_frame,cue_paraphrase,visual_class,observed_visual_action,observed_motion,editorial_role_inference,shot_id,start_s,end_frame_exclusive,end_s,duration_s,incoming_transition,outgoing_transition,boundary_review,boundary_evidence,transcript_excerpt_asr_unverified,caption_style_observed,source_provenance_status
0,Curiosity promise: show where parasites live,mechanism+presenter,Endoscope-like camera enters pink mouth/throat; man's keyed bust bottom-left; red/yellow hook banner,Forward glide,Set destination and curiosity; commentator promises access to hidden scene,YIX-001,0.0,91,3.033,3.033,opening frame,hard cut,first source frame,dense-01.jpg opening,I'm gonna show y 'all where these parasites really be living in your body.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
91,What you will see changes how you view symptoms,mechanism+presenter,New deeper pink intestinal tunnel with raised wall nodules; same keyed commentator and hook,Forward glide,Continue visual journey before revealing named antagonist,YIX-002,3.033,192,6.4,3.367,hard cut,zoom-blur transition,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 1; split file boundaries-01-1.jpg,What you about to see is gonna change how you think about every single symptom you got.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
192,These here are parasites,mechanism+presenter,Brown/yellow damaged-looking gut interior with worm forms; keyed commentator points,Zoom-blur entry then drifting macro view,Name the thing after first showing it; deictic cue directs attention,YIX-003,6.4,240,8.0,1.6,zoom-blur transition,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 2; split file boundaries-01-1.jpg,"These right here, parasites.","Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
240,Attached to intestinal wall,mechanism,Circular scope crop of coiled gut with elongated worms attached to wall; presenter disappears,Slow push,Give unobstructed view of location/attachment,YIX-004,8.0,288,9.6,1.6,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 3; split file boundaries-01-1.jpg,Attached to your intestinal wall.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
288,Hiding behind a biofilm shield,mechanism,Tighter circular scope wall view with bulbous yellow-coated forms,Macro drift,Make protection/barrier spatially visible,YIX-005,9.6,336,11.2,1.6,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 4; split file boundaries-01-1.jpg,Hiding behind a biofilm shield,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
336,Immune system cannot see it,mechanism,Single shielded lump with floating small bright particles passing nearby,Macro drift/particle motion,Represent failed contact between immune particles and protected target,YIX-006,11.2,402,13.4,2.2,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 5; split file boundaries-01-1.jpg,your immune system literally cannot see.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
402,Fermenting food,mechanism,Pale foaming mass around worm forms on gut wall,Bubbling action,Render the named process as visible change,YIX-007,13.4,468,15.6,2.2,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 6; split file boundaries-01-2.jpg,They be fermenting every single thing you eat,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
468,Pumping inflammatory waste,mechanism,Gut tunnel with green liquid running over walls,Liquid flow,Switch from agent to its proposed output,YIX-008,15.6,515,17.167,1.567,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 7; split file boundaries-01-2.jpg,and pumping inflammatory waste,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
515,Back into gut,anatomical-system,External semi-transparent torso/intestinal system,Slow anatomical drift,Briefly restore whole-organ orientation after many internal macros,YIX-009,17.167,544,18.133,0.967,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 8; split file boundaries-01-2.jpg,back into your gut.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
544,Nightly bloating,human-problem,Phone-style overhead close shot of woman touching/pinching exposed abdomen while reclining,Hand action; small handheld drift,Translate invisible story into recognizable bodily discomfort,YIX-010,18.133,616,20.533,2.4,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 9; split file boundaries-01-2.jpg,That's your bloating every single night. Period.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
616,Look at these eggs,mechanism+presenter,Scope wall with translucent eggs and small worms; commentator keyed lower-left,Slow push; presenter pointing,Reset attention and introduce second antagonist/lifecycle objection,YIX-011,20.533,658,21.933,1.4,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-01.jpg row 10; split file boundaries-01-2.jpg,Now look at this. See those?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
658,Hundreds of eggs,mechanism,Wide circular gut tunnel crowded with pale dots near lower wall,Slow forward drift,Show extent before macro detail,YIX-012,21.933,699,23.3,1.367,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 1; split file boundaries-02-1.jpg,Eggs. Hundreds of them.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
699,Embedded in gut lining,mechanism,Angled gut wall close-up containing translucent ovals and small worm forms,Macro drift,Show location rather than merely repeating egg quantity,YIX-013,23.3,744,24.8,1.5,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 2; split file boundaries-02-1.jpg,Embedded in your gut lining.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
744,Each egg hatches within two weeks,mechanism,Extreme macro of clustered pearl-like eggs; interiors/worm forms develop,Visible hatching animation,Animate lifecycle consequence that explains recurrence,YIX-014,24.8,827,27.567,2.767,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 3; split file boundaries-02-1.jpg,Each one hatch into a new parasite within two weeks.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
827,Why previous cleanse failed,mechanism,Scope tunnel; white cleansing fluid rushes through dirty wall scene,Fluid surge,Introduce attempted solution and set up limitation,YIX-015,27.567,874,29.133,1.567,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 4; split file boundaries-02-1.jpg,This is why your cleanse ain't work. You,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
874,Killed some adults,mechanism,Remaining yellow-brown tunnel/worm material after fluid pass,Slow push,Separate partial effect from complete resolution,YIX-016,29.133,919,30.633,1.5,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 7; split file boundaries-02-2.jpg,killed some of the adults.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
919,Eggs remain waiting,mechanism+overlay,Tight eggs on gut fold while white fluid passes; curved white arrow targets eggs,Fluid pass; fixed attention arrow,Show the missed target; arrow identifies the important residual detail,YIX-017,30.633,1019,33.967,3.333,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-02.jpg row 8; split file boundaries-02-2.jpg,But the egg's been sitting there the whole time waiting on their turn.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1019,Watch food pass,mechanism+presenter,Dark lumen with food matter and worms; keyed commentator returns,Forward drift; pointing,Announce a new mechanism chapter,YIX-018,33.967,1041,34.7,0.733,hard cut,presenter overlay removed,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 1; split file boundaries-03-1.jpg,Watch this part.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1041,Food arrives and parasites eat first,mechanism,Same dark lumen/food scene with presenter layer removed,Food movement; slow push,"Clear viewing area at the demonstration action; layout change, not a new underlying clip",YIX-019,34.7,1108,36.933,2.233,presenter overlay removed; underlying scene continues,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 2; split file boundaries-03-1.jpg,Your food come through and they eat it first. The,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
