id,start_seconds_estimate,end_seconds_estimate,beat,setup,cut_cue,status
B01,0,11.833,H1,P01 · Opening,Cold open into presenter; continue the same take into Because I was dropping weight.,PLANNING ONLY — realign to final voice
B02,11.833,25.6,AGITATION,P01 · Same take,Continue coverage; no mandatory cut at this beat boundary.,PLANNING ONLY — realign to final voice
B03,25.6,40.167,TWIST,B01 → P01,Straight cut into insert on picking outfits; continuous voice; return on personal admission.,PLANNING ONLY — realign to final voice
B04,40.167,48.533,CURIOSITY LOOP,P02 · Invitation,Stay on her through the next thought; a pickup cut only if the performance needs it.,PLANNING ONLY — realign to final voice
B05,48.533,60.367,DISCOVERY,B02 → P02,Insert at scrolling; return as she begins He said. Keep voice uninterrupted.,PLANNING ONLY — realign to final voice
B06,60.367,82.267,UMP,S01 → P02,Anatomy insert on how fast your stomach empties; straight return at It was not a weight thing.,PLANNING ONLY — realign to final voice
B07,82.267,97.2,PRIOR SOLUTIONS,S02 → P02,Insert only during the functional comparison; return at I had completely missed that.,PLANNING ONLY — realign to final voice
B08,97.2,104.0,DM BEAT,P03 · Follow-up,Continue presenter; no second full phone-scroll scene.,PLANNING ONLY — realign to final voice
B09,104.0,114.667,DOC RESPONSE,P03 · Criteria,Remain on her; brief pause before going back to the group.,PLANNING ONLY — realign to final voice
B10,114.667,124.2,BACK TO GROUP,P03 · Search,Same take; no forced cut on So.,PLANNING ONLY — realign to final voice
B11,124.2,135.267,WOMAN'S RECOMMENDATION,P03 · Three jobs,Hold until First; no bottle or brand yet.,PLANNING ONLY — realign to final voice
B12,135.267,148.267,UMS 1,I01 → P03,Straight cut to ingredient on apigenin; no receptor activation animation.,PLANNING ONLY — realign to final voice
B13,148.267,158.933,UMS 2,I02 → P03,Cut on Second; return after the explanation. No disappearing-gas effect.,PLANNING ONLY — realign to final voice
B14,158.933,170.0,UMS 3,P03 · Qualification,Stay through the qualifier; no third repetitive ingredient macro required.,PLANNING ONLY — realign to final voice
B15,170.0,193.067,MYTH-BUST,B03 → P04,Brief insert on putting it together herself; continuous narration.,PLANNING ONLY — realign to final voice
B16,193.067,202.6,NO COMPANY HAD DONE IT,P04 · Selection,Hold her face; product enters only after this line finishes.,PLANNING ONLY — realign to final voice
B17,202.6,205.533,PRODUCT REVEAL,PR01 · First brand,Product entry on Motilli; no logo sting.,PLANNING ONLY — realign to final voice
B18,205.533,216.2,ROUTINE,PR02 → P04,Insert on two before bed; return on which I honestly preferred.,PLANNING ONLY — realign to final voice
B19,216.2,227.267,Initial disappointment,P05 · Initial doubt,Natural pickup point; same room and identity.,PLANNING ONLY — realign to final voice
B20,227.267,246.867,First everyday improvement,B04 → P05,Insert on dinner; return before the understated meaning of the moment.,PLANNING ONLY — realign to final voice
B21,246.867,264.133,Morning improvement,P05 · Morning change,Continuous coverage; no obligatory morning montage.,PLANNING ONLY — realign to final voice
B22,264.133,281.767,Practical test,P05 · Practical test,Hold instead of cutting away from the payoff.,PLANNING ONLY — realign to final voice
B23,281.767,286.633,Before/now callback,P05 · Before/now,Continue into the next sentence; no invented before/after card.,PLANNING ONLY — realign to final voice
B24,286.633,305.067,Restored everyday life,P05 · Daily relief,Sustained shot; no exact B-roll reuse.,PLANNING ONLY — realign to final voice
B25,305.067,328.9,Meaning and reason to share,P05 · Why share,Same coverage into availability beat; no music crescendo prescribed.,PLANNING ONLY — realign to final voice
B26,328.9,345.767,SCARCITY,P06 · Availability,Optional clean pickup; no manufactured stock footage.,PLANNING ONLY — realign to final voice
B27,345.767,361.867,GUARANTEE + CTA,P06 → End hold,Straight continuation into a 3-second final hold; no extra spoken copy.,PLANNING ONLY — realign to final voice
