last_outgoing_frame,first_incoming_frame,seconds,incoming_picture,status
87,88,2.933333333333333,Dua collage,consecutive pair visually inspected; direct picture replacement
115,116,3.8666666666666667,Cardi/other celebrity collage,consecutive pair visually inspected; direct picture replacement
144,145,4.833333333333333,Haaland carrying patterned large bag,consecutive pair visually inspected; direct picture replacement
177,178,5.933333333333334,Acne bag and product label,consecutive pair visually inspected; direct picture replacement
260,261,8.7,Peggy green/dark bag collage,consecutive pair visually inspected; direct picture replacement
307,308,10.266666666666667,Blue Birkin elevator selfie,consecutive pair visually inspected; direct picture replacement
344,345,11.5,Cargo-style brown bag mirror selfie,consecutive pair visually inspected; direct picture replacement
411,412,13.733333333333333,Dark bag at red door,consecutive pair visually inspected; direct picture replacement
454,455,15.166666666666666,Bag collection floor image,consecutive pair visually inspected; direct picture replacement
501,502,16.733333333333334,Brown shoulder-style bag selfie,consecutive pair visually inspected; direct picture replacement
520,521,17.366666666666667,Dark shoulder-style bag outdoors,consecutive pair visually inspected; direct picture replacement
535,536,17.866666666666667,Blue shoulder-style bag in aircraft,consecutive pair visually inspected; direct picture replacement
583,584,19.466666666666665,Black bag with pastry scene,consecutive pair visually inspected; direct picture replacement
654,655,21.833333333333332,Blue/green bag collage,consecutive pair visually inspected; direct picture replacement
697,698,23.266666666666666,Green bag in aircraft,consecutive pair visually inspected; direct picture replacement
796,797,26.566666666666666,Bottega shopping-bag portrait,consecutive pair visually inspected; direct picture replacement
864,865,28.833333333333332,Purple bag selfie,consecutive pair visually inspected; direct picture replacement
937,938,31.266666666666666,Checkered tote outdoors,consecutive pair visually inspected; direct picture replacement
963,964,32.13333333333333,Yellow/black tote mirror selfie,consecutive pair visually inspected; direct picture replacement
991,992,33.06666666666667,Red/white checkered bag closeup,consecutive pair visually inspected; direct picture replacement
1035,1036,34.53333333333333,Small red bag,consecutive pair visually inspected; direct picture replacement
1080,1081,36.03333333333333,Gold bag event portrait,consecutive pair visually inspected; direct picture replacement
1135,1136,37.86666666666667,Green furry bag mirror image,consecutive pair visually inspected; direct picture replacement
1181,1182,39.4,Green furry runway detail,consecutive pair visually inspected; direct picture replacement
1235,1236,41.2,Black sculptural bag with product label,consecutive pair visually inspected; direct picture replacement
1285,1286,42.86666666666667,Yellow bag mirror selfie,consecutive pair visually inspected; direct picture replacement
