event,start_frame,visual_class,visual,story_role,purpose_inferred,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,narration_asr_approx,incoming,outgoing,evidence,timing_basis
E001,0,human,"Woman on toilet folds arms over abdomen, leans forward and winces; elevated doorway view",recognition hook,Make discomfort legible before any explanation,56,0.0,2.24,2.24,These are the warning signs women over 60,Cold open,To Close couch selfie with palm against forehead,frames/00000.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E002,56,human,Close couch selfie with palm against forehead,agitation,Add another recognizable lived symptom,100,2.24,4.0,1.76,60 tragically ignore. And one,Direct cut / appearance,To Seated blonde presenter in gray top by window,frames/00056.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E003,100,presenter,Seated blonde presenter in gray top by window,warning bridge,Give the warning a human speaker,136,4.0,5.44,1.44,one day they realize something,Direct cut / appearance,To Pink intestinal tunnel with white worm-like forms and glowing deposits,frames/00100.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E004,136,mechanism,Pink intestinal tunnel with white worm-like forms and glowing deposits,invisible-threat teaser,Introduce the proposed hidden cause before naming it,238,5.44,9.52,4.08,"something might have been multiplying inside them for years, stealing their retirement.",Direct cut / appearance,To Dim bedroom wide; woman throws covers aside and gets out of bed,frames/00136.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E005,238,human,Dim bedroom wide; woman throws covers aside and gets out of bed,symptom,Show interrupted sleep as an action,296,9.52,11.84,2.32,"Waking up at 2 or 3 a .m. to pee, you",Direct cut / appearance,To Seated presenter gestures,frames/00238.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E006,296,presenter,Seated presenter gestures,common explanation,Voice the viewer's existing interpretation,343,11.84,13.72,1.88,you probably think that's just aging.,Direct cut / appearance,To Woman rubs shoulder and grimaces in black top,frames/00296.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E007,343,human,Woman rubs shoulder and grimaces in black top,symptom,Locate the specific discomfort,398,13.72,15.92,2.2,That weird shoulder pain that won't go away.,Direct cut / appearance,To Woman lying sideways in same dim bedroom setup,frames/00343.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E008,398,human,Woman lying sideways in same dim bedroom setup,common explanation,Illustrate sleeping posture rather than repeat shoulder rubbing,439,15.92,17.56,1.64,You blame it on sleeping wrong. Hair,Direct cut / appearance,To Woman parts hair at scalp close to camera,frames/00398.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E009,439,human,Woman parts hair at scalp close to camera,symptom,Make hair concern physically inspectable,480,17.56,19.2,1.64,Hair thinning for no reason. Must,Direct cut / appearance,To Seated presenter,frames/00439.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E010,480,presenter,Seated presenter,common explanation,Attribute symptom to an assumed cause,506,19.2,20.24,1.04,Must be hormones.,Direct cut / appearance,To Woman closes eyes and presses both temples,frames/00480.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E011,506,human,Woman closes eyes and presses both temples,symptom,Visual shorthand for difficulty concentrating,595,20.24,23.8,3.56,Brain fog so bad you forget simple words mid -sentence.,Direct cut / appearance,To Side angle of gray-shirt woman seated and smiling then looking down,frames/00506.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E012,595,human,Side angle of gray-shirt woman seated and smiling then looking down,self-dismissal,Embody joking or embarrassment,634,23.8,25.36,1.56,Maybe you joke about getting older.,Direct cut / appearance,To Waist and torso side view in close-fitting tan dress; hand at hip,frames/00595.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E013,634,human,Waist and torso side view in close-fitting tan dress; hand at hip,symptom,Show clothing/body concern concretely,720,25.36,28.8,3.44,And that lower belly pooch that won't flatten no matter what you do. You've,Direct cut / appearance,To Seated presenter,frames/00634.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E014,720,presenter,Seated presenter,reframe setup,Connect the symptoms and challenge normalization,799,28.8,31.96,3.16,You've just accepted it. But here's what most women don't realize. These,Direct cut / appearance,To Fast recap of bedroom getting-up shot with blur/bright entry,frames/00720.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E015,799,human,Fast recap of bedroom getting-up shot with blur/bright entry,recap,Recall the first symptom,809,31.96,32.36,0.4,These aren't,Cut with brief bright/blurred incoming treatment,To Fast shoulder-pain recap with bright entry,frames/00799.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E016,809,human,Fast shoulder-pain recap with bright entry,recap,Gather apparently separate issues,819,32.36,32.76,0.4,aren't five separate,Cut with brief bright/blurred incoming treatment,To Fast hair-parting recap with bright entry,frames/00809.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E017,819,human,Fast hair-parting recap with bright entry,recap,Continue visual enumeration,829,32.76,33.16,0.4,separate problems.,Cut with brief bright/blurred incoming treatment,To Fast temple-pressure recap with bright entry,frames/00819.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E018,829,human,Fast temple-pressure recap with bright entry,recap,Continue visual enumeration,839,33.16,33.56,0.4,problems.,Cut with brief bright/blurred incoming treatment,To Fast tan-dress abdomen recap,frames/00829.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E019,839,human,Fast tan-dress abdomen recap,recap,Complete the symptom set,855,33.56,34.2,0.64,problems. They're not,Cut with brief bright/blurred incoming treatment,"To Blurred lateral return to seated presenter, settling by frame858",frames/00839.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E020,855,presenter,"Blurred lateral return to seated presenter, settling by frame858",cause bridge,Presenter delivers the unifying interpretation,961,34.2,38.44,4.24,not just aging. They're warning signs. And they may all be connected to one thing.,Brief lateral blur handoff,To Circular endoscopic-looking intestinal image on black,frames/00855.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E021,961,mechanism,Circular endoscopic-looking intestinal image on black,cause naming,Give the named cause an immediate image,994,38.44,39.76,1.32,Parasites. Researchers,Direct cut / appearance,To Seated presenter,frames/00961.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E022,994,presenter,Seated presenter,authority setup,Introduce numeric research claim,1016,39.76,40.64,0.88,Researchers estimate that,Direct cut / appearance,To Highlighted article-like screenshot over presenter's chest; red caption box,frames/00994.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E023,1016,document-inset,Highlighted article-like screenshot over presenter's chest; red caption box,claimed proof,Borrow document authority while retaining speaker; source authenticity unverified,1165,40.64,46.6,5.96,that over 60 million people in America carry at least one parasite in their body. And most have no idea.,Direct cut / appearance,To Screenshot disappears; presenter fills frame,frames/01016.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E024,1165,presenter,Screenshot disappears; presenter fills frame,exposure bridge,Introduce everyday exposure examples,1207,46.6,48.28,1.68,We pick them up from everyday life.,Direct cut / appearance,To Hand presses raw meat on yellow plate with white string-like material,frames/01165.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
