shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,visual,narration,incoming,outgoing,timing_basis
S01,0,122,0.0,4.066666666666666,4.066666666666666,Presenter: car selfie,"I called my son's ex -wife during his wedding, and I don't regret it. See, I didn't",Cold open,Direct cut to Dresses on shop mannequins,Image frames measured; narration ASR approximate
S02,122,158,4.066666666666666,5.266666666666667,1.2000000000000002,Dresses on shop mannequins,didn't think I'd fit into my dress for,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S03,158,198,5.266666666666667,6.6,1.333333333333333,Presenter,"for my son's wedding, and his fiance",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Couple portrait,Image frames measured; narration ASR approximate
S04,198,234,6.6,7.8,1.2000000000000002,Couple portrait,fiance Taylor made sure I,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S05,234,266,7.8,8.866666666666667,1.0666666666666673,Presenter,I knew it too. So at their,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Engagement-party couple,Image frames measured; narration ASR approximate
S06,266,315,8.866666666666667,10.5,1.6333333333333329,Engagement-party couple,"their engagement party last February, she",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S07,315,367,10.5,12.233333333333333,1.7333333333333325,Presenter,"she pulled me aside and said, Linda, the",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Woman with microphone at event,Image frames measured; narration ASR approximate
S08,367,437,12.233333333333333,14.566666666666666,2.333333333333334,Woman with microphone at event,the wedding's in June. That's only four months. Do,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S09,437,636,14.566666666666666,21.2,6.633333333333333,Presenter,"Do you think you'll have time to, you know, slim down a bit before photos? I just stared at her and she explained, it's just that Jacob mentioned you've",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Seated woman / claimed prior condition,Image frames measured; narration ASR approximate
S10,636,697,21.2,23.233333333333334,2.033333333333335,Seated woman / claimed prior condition,"you've been struggling with your weight since menopause,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S11,697,774,23.233333333333334,25.8,2.5666666666666664,Presenter,and I want everyone to look their best. And Lord knows I,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Salad and drink,Image frames measured; narration ASR approximate
S12,774,810,25.8,27.0,1.1999999999999993,Salad and drink,I was already eating clean and working,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Woman climbing stairs,Image frames measured; narration ASR approximate
S13,810,852,27.0,28.4,1.3999999999999986,Woman climbing stairs,"working out four times a week, but",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Woman looking at abdomen,Image frames measured; narration ASR approximate
S14,852,928,28.4,30.933333333333334,2.533333333333335,Woman looking at abdomen,but the belly fat wouldn't budge no matter what I tried. So,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S15,928,971,30.933333333333334,32.36666666666667,1.4333333333333336,Presenter,So I called my ex -daughter -in -law Bailey,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Two-woman outdoor portrait,Image frames measured; narration ASR approximate
S16,971,1026,32.36666666666667,34.2,1.8333333333333357,Two-woman outdoor portrait,"Bailey that night, Jacob's first wife.",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S17,1026,1182,34.2,39.4,5.199999999999996,Presenter,"We stayed close after the divorce, and I told her what Taylor said. That's disgusting, Bailey said, but Linda, just",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Nuora bottle in hand,Image frames measured; narration ASR approximate
S18,1182,1231,39.4,41.03333333333333,1.6333333333333329,Nuora bottle in hand,just get new aura. I'm serious.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
