outgoing_frame,incoming_frame,time_seconds,classification,observed_picture
23,24,0.8,base-picture edit,Athlete press photo
48,49,1.633333,base-picture edit,Athlete arrival photo
75,76,2.533333,base-picture edit,Walking athlete footage; frame 77 is same incoming setup
76,77,2.566667,within-sequence motion/state change; not independent scene,Same incoming athlete setup
124,125,4.166667,base-picture edit,Two-panel product/luggage montage
191,192,6.4,base-picture edit,Athlete in red tracksuit
243,244,8.133333,base-picture edit,Overhead bag organization demo
279,280,9.333333,base-picture edit,Same-setup organization jump/change; not unique B-roll
368,369,12.3,base-picture edit,Outdoor shoulder carry
436,437,14.566667,base-picture edit,Multiple luggage airport image
459,460,15.333333,base-picture edit,Disordered open luggage
490,491,16.366667,base-picture edit,White-background folding-product sequence
495,496,16.533333,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
500,501,16.7,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
510,511,17.033333,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
563,564,18.8,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
568,569,18.966667,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
572,573,19.1,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
587,588,19.6,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
601,602,20.066667,within-sequence motion/state change; not independent scene,Foldout garment bag changes position/open state
625,626,20.866667,base-picture edit,Separate shoe compartment demo
740,741,24.7,base-picture edit,Laptop sleeve demo
823,824,27.466667,base-picture edit,Top opening capacity demo
881,882,29.4,base-picture edit,Roller luggage sleeve
920,921,30.7,base-picture edit,Suited male arrival
1001,1002,33.4,base-picture edit,Athlete hallway look
1048,1049,34.966667,base-picture edit,Winter arrival with luggage
1075,1076,35.866667,base-picture edit,Casual male carrying bag
1136,1137,37.9,base-picture edit,Urban shoulder-carry scene
1193,1194,39.8,base-picture edit,Product hero against skyline
